2022-03-21 16:09:27 startup archives unpack
2022-03-21 16:09:27 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2022-03-21 16:09:27 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:27 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:27 install libexpat1:amd64 <none> 2.2.10-2+deb11u3
2022-03-21 16:09:27 status triggers-pending libc-bin:amd64 2.31-13+deb11u2
2022-03-21 16:09:27 status half-installed libexpat1:amd64 2.2.10-2+deb11u3
2022-03-21 16:09:27 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-03-21 16:09:27 install python3.9-minimal:amd64 <none> 3.9.2-1
2022-03-21 16:09:27 status half-installed python3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:27 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:27 startup packages configure
2022-03-21 16:09:27 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2022-03-21 16:09:27 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:27 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:27 status installed libpython3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:27 configure libexpat1:amd64 2.2.10-2+deb11u3 <none>
2022-03-21 16:09:27 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-03-21 16:09:27 status half-configured libexpat1:amd64 2.2.10-2+deb11u3
2022-03-21 16:09:27 status installed libexpat1:amd64 2.2.10-2+deb11u3
2022-03-21 16:09:27 configure python3.9-minimal:amd64 3.9.2-1 <none>
2022-03-21 16:09:27 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:27 status half-configured python3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:28 status installed python3.9-minimal:amd64 3.9.2-1
2022-03-21 16:09:28 startup archives unpack
2022-03-21 16:09:28 install python3-minimal:amd64 <none> 3.9.2-3
2022-03-21 16:09:28 status half-installed python3-minimal:amd64 3.9.2-3
2022-03-21 16:09:28 status unpacked python3-minimal:amd64 3.9.2-3
2022-03-21 16:09:28 install media-types:all <none> 4.0.0
2022-03-21 16:09:28 status half-installed media-types:all 4.0.0
2022-03-21 16:09:28 status unpacked media-types:all 4.0.0
2022-03-21 16:09:28 install libmpdec3:amd64 <none> 2.5.1-1
2022-03-21 16:09:28 status half-installed libmpdec3:amd64 2.5.1-1
2022-03-21 16:09:28 status unpacked libmpdec3:amd64 2.5.1-1
2022-03-21 16:09:28 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2022-03-21 16:09:28 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2022-03-21 16:09:28 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-03-21 16:09:28 install python3.9:amd64 <none> 3.9.2-1
2022-03-21 16:09:28 status half-installed python3.9:amd64 3.9.2-1
2022-03-21 16:09:28 status unpacked python3.9:amd64 3.9.2-1
2022-03-21 16:09:28 install libpython3-stdlib:amd64 <none> 3.9.2-3
2022-03-21 16:09:28 status half-installed libpython3-stdlib:amd64 3.9.2-3
2022-03-21 16:09:28 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-03-21 16:09:28 startup packages configure
2022-03-21 16:09:28 configure python3-minimal:amd64 3.9.2-3 <none>
2022-03-21 16:09:28 status unpacked python3-minimal:amd64 3.9.2-3
2022-03-21 16:09:28 status half-configured python3-minimal:amd64 3.9.2-3
2022-03-21 16:09:29 status installed python3-minimal:amd64 3.9.2-3
2022-03-21 16:09:30 startup archives unpack
2022-03-21 16:09:30 install python3:amd64 <none> 3.9.2-3
2022-03-21 16:09:30 status half-installed python3:amd64 3.9.2-3
2022-03-21 16:09:30 status unpacked python3:amd64 3.9.2-3
2022-03-21 16:09:30 install libncurses6:amd64 <none> 6.2+20201114-2
2022-03-21 16:09:30 status half-installed libncurses6:amd64 6.2+20201114-2
2022-03-21 16:09:30 status unpacked libncurses6:amd64 6.2+20201114-2
2022-03-21 16:09:30 install libprocps8:amd64 <none> 2:3.3.17-5
2022-03-21 16:09:30 status half-installed libprocps8:amd64 2:3.3.17-5
2022-03-21 16:09:30 status unpacked libprocps8:amd64 2:3.3.17-5
2022-03-21 16:09:30 install procps:amd64 <none> 2:3.3.17-5
2022-03-21 16:09:30 status half-installed procps:amd64 2:3.3.17-5
2022-03-21 16:09:30 status unpacked procps:amd64 2:3.3.17-5
2022-03-21 16:09:30 install ca-certificates:all <none> 20210119
2022-03-21 16:09:30 status half-installed ca-certificates:all 20210119
2022-03-21 16:09:30 status unpacked ca-certificates:all 20210119
2022-03-21 16:09:30 install libgpm2:amd64 <none> 1.20.7-8
2022-03-21 16:09:30 status half-installed libgpm2:amd64 1.20.7-8
2022-03-21 16:09:30 status unpacked libgpm2:amd64 1.20.7-8
2022-03-21 16:09:30 install psmisc:amd64 <none> 23.4-2
2022-03-21 16:09:30 status half-installed psmisc:amd64 23.4-2
2022-03-21 16:09:30 status unpacked psmisc:amd64 23.4-2
2022-03-21 16:09:30 install systemctl:all <none> 1.4.4181-1.1
2022-03-21 16:09:30 status half-installed systemctl:all 1.4.4181-1.1
2022-03-21 16:09:30 status unpacked systemctl:all 1.4.4181-1.1
2022-03-21 16:09:30 startup packages configure
2022-03-21 16:09:30 configure media-types:all 4.0.0 <none>
2022-03-21 16:09:30 status unpacked media-types:all 4.0.0
2022-03-21 16:09:30 status half-configured media-types:all 4.0.0
2022-03-21 16:09:30 status installed media-types:all 4.0.0
2022-03-21 16:09:30 configure libgpm2:amd64 1.20.7-8 <none>
2022-03-21 16:09:30 status unpacked libgpm2:amd64 1.20.7-8
2022-03-21 16:09:30 status half-configured libgpm2:amd64 1.20.7-8
2022-03-21 16:09:30 status installed libgpm2:amd64 1.20.7-8
2022-03-21 16:09:30 configure psmisc:amd64 23.4-2 <none>
2022-03-21 16:09:30 status unpacked psmisc:amd64 23.4-2
2022-03-21 16:09:30 status half-configured psmisc:amd64 23.4-2
2022-03-21 16:09:30 status installed psmisc:amd64 23.4-2
2022-03-21 16:09:30 configure ca-certificates:all 20210119 <none>
2022-03-21 16:09:30 status unpacked ca-certificates:all 20210119
2022-03-21 16:09:30 status half-configured ca-certificates:all 20210119
2022-03-21 16:09:30 status installed ca-certificates:all 20210119
2022-03-21 16:09:30 status triggers-pending ca-certificates:all 20210119
2022-03-21 16:09:30 configure libncurses6:amd64 6.2+20201114-2 <none>
2022-03-21 16:09:30 status unpacked libncurses6:amd64 6.2+20201114-2
2022-03-21 16:09:30 status half-configured libncurses6:amd64 6.2+20201114-2
2022-03-21 16:09:30 status installed libncurses6:amd64 6.2+20201114-2
2022-03-21 16:09:30 configure libmpdec3:amd64 2.5.1-1 <none>
2022-03-21 16:09:30 status unpacked libmpdec3:amd64 2.5.1-1
2022-03-21 16:09:30 status half-configured libmpdec3:amd64 2.5.1-1
2022-03-21 16:09:30 status installed libmpdec3:amd64 2.5.1-1
2022-03-21 16:09:30 configure libprocps8:amd64 2:3.3.17-5 <none>
2022-03-21 16:09:30 status unpacked libprocps8:amd64 2:3.3.17-5
2022-03-21 16:09:30 status half-configured libprocps8:amd64 2:3.3.17-5
2022-03-21 16:09:30 status installed libprocps8:amd64 2:3.3.17-5
2022-03-21 16:09:30 configure libpython3.9-stdlib:amd64 3.9.2-1 <none>
2022-03-21 16:09:30 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-03-21 16:09:30 status half-configured libpython3.9-stdlib:amd64 3.9.2-1
2022-03-21 16:09:30 status installed libpython3.9-stdlib:amd64 3.9.2-1
2022-03-21 16:09:30 configure libpython3-stdlib:amd64 3.9.2-3 <none>
2022-03-21 16:09:30 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-03-21 16:09:30 status half-configured libpython3-stdlib:amd64 3.9.2-3
2022-03-21 16:09:30 status installed libpython3-stdlib:amd64 3.9.2-3
2022-03-21 16:09:30 configure procps:amd64 2:3.3.17-5 <none>
2022-03-21 16:09:30 status unpacked procps:amd64 2:3.3.17-5
2022-03-21 16:09:30 status half-configured procps:amd64 2:3.3.17-5
2022-03-21 16:09:30 status installed procps:amd64 2:3.3.17-5
2022-03-21 16:09:30 configure python3.9:amd64 3.9.2-1 <none>
2022-03-21 16:09:30 status unpacked python3.9:amd64 3.9.2-1
2022-03-21 16:09:30 status half-configured python3.9:amd64 3.9.2-1
2022-03-21 16:09:31 status installed python3.9:amd64 3.9.2-1
2022-03-21 16:09:31 configure python3:amd64 3.9.2-3 <none>
2022-03-21 16:09:31 status unpacked python3:amd64 3.9.2-3
2022-03-21 16:09:31 status half-configured python3:amd64 3.9.2-3
2022-03-21 16:09:31 status installed python3:amd64 3.9.2-3
2022-03-21 16:09:31 configure systemctl:all 1.4.4181-1.1 <none>
2022-03-21 16:09:31 status unpacked systemctl:all 1.4.4181-1.1
2022-03-21 16:09:31 status half-configured systemctl:all 1.4.4181-1.1
2022-03-21 16:09:31 status installed systemctl:all 1.4.4181-1.1
2022-03-21 16:09:31 trigproc libc-bin:amd64 2.31-13+deb11u2 <none>
2022-03-21 16:09:31 status half-configured libc-bin:amd64 2.31-13+deb11u2
2022-03-21 16:09:31 status installed libc-bin:amd64 2.31-13+deb11u2
2022-03-21 16:09:31 trigproc ca-certificates:all 20210119 <none>
2022-03-21 16:09:31 status half-configured ca-certificates:all 20210119
2022-03-21 16:09:31 status installed ca-certificates:all 20210119
2022-03-21 16:10:32 startup archives unpack
2022-03-21 16:10:32 install libbrotli1:amd64 <none> 1.0.9-2+b2
2022-03-21 16:10:32 status triggers-pending libc-bin:amd64 2.31-13+deb11u2
2022-03-21 16:10:32 status half-installed libbrotli1:amd64 1.0.9-2+b2
2022-03-21 16:10:32 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-03-21 16:10:32 install libnghttp2-14:amd64 <none> 1.43.0-1
2022-03-21 16:10:32 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-03-21 16:10:32 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-03-21 16:10:32 install libpsl5:amd64 <none> 0.21.0-1.2
2022-03-21 16:10:32 status half-installed libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 status unpacked libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-21 16:10:32 install libssh2-1:amd64 <none> 1.9.0-2
2022-03-21 16:10:32 status half-installed libssh2-1:amd64 1.9.0-2
2022-03-21 16:10:32 status unpacked libssh2-1:amd64 1.9.0-2
2022-03-21 16:10:32 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 install curl:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status half-installed curl:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 status unpacked curl:amd64 7.74.0-1.3+deb11u1
2022-03-21 16:10:32 install publicsuffix:all <none> 20211207.1025-0+deb11u1
2022-03-21 16:10:32 status half-installed publicsuffix:all 20211207.1025-0+deb11u1
2022-03-21 16:10:32 status unpacked publicsuffix:all 20211207.1025-0+deb11u1
2022-03-21 16:10:32 startup packages configure
2022-03-21 16:10:32 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-03-21 16:10:32 status unpacked libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 status half-configured libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 status installed libpsl5:amd64 0.21.0-1.2
2022-03-21 16:10:32 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-03-21 16:10:32 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-03-21 16:10:32 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-03-21 16:10:32 status installed libbrotli1:amd64 1.0.9-2+b2
2022-03-21 16:10:32 configure libnghttp2-14:amd64 1.43.0-1 <none>
2022-03-21 16:10:32 status unpacked libnghttp2-14:amd64 1.43.0-1
