2022-03-07 21:50:08 startup archives unpack
2022-03-07 21:50:08 install libelf1:amd64 <none> 0.183-1
2022-03-07 21:50:08 status triggers-pending libc-bin:amd64 2.31-13+deb11u2
2022-03-07 21:50:08 status half-installed libelf1:amd64 0.183-1
2022-03-07 21:50:08 status unpacked libelf1:amd64 0.183-1
2022-03-07 21:50:08 install libbpf0:amd64 <none> 1:0.3-2
2022-03-07 21:50:08 status half-installed libbpf0:amd64 1:0.3-2
2022-03-07 21:50:08 status unpacked libbpf0:amd64 1:0.3-2
2022-03-07 21:50:09 install libcap2:amd64 <none> 1:2.44-1
2022-03-07 21:50:09 status half-installed libcap2:amd64 1:2.44-1
2022-03-07 21:50:09 status unpacked libcap2:amd64 1:2.44-1
2022-03-07 21:50:09 install libmnl0:amd64 <none> 1.0.4-3
2022-03-07 21:50:09 status half-installed libmnl0:amd64 1.0.4-3
2022-03-07 21:50:09 status unpacked libmnl0:amd64 1.0.4-3
2022-03-07 21:50:09 install libxtables12:amd64 <none> 1.8.7-1
2022-03-07 21:50:09 status half-installed libxtables12:amd64 1.8.7-1
2022-03-07 21:50:09 status unpacked libxtables12:amd64 1.8.7-1
2022-03-07 21:50:09 install libcap2-bin:amd64 <none> 1:2.44-1
2022-03-07 21:50:09 status half-installed libcap2-bin:amd64 1:2.44-1
2022-03-07 21:50:09 status unpacked libcap2-bin:amd64 1:2.44-1
2022-03-07 21:50:09 install iproute2:amd64 <none> 5.10.0-4
2022-03-07 21:50:09 status half-installed iproute2:amd64 5.10.0-4
2022-03-07 21:50:09 status unpacked iproute2:amd64 5.10.0-4
2022-03-07 21:50:09 install libatm1:amd64 <none> 1:2.5.1-4
2022-03-07 21:50:09 status half-installed libatm1:amd64 1:2.5.1-4
2022-03-07 21:50:09 status unpacked libatm1:amd64 1:2.5.1-4
2022-03-07 21:50:09 install libpam-cap:amd64 <none> 1:2.44-1
2022-03-07 21:50:09 status half-installed libpam-cap:amd64 1:2.44-1
2022-03-07 21:50:09 status unpacked libpam-cap:amd64 1:2.44-1
2022-03-07 21:50:09 startup packages configure
2022-03-07 21:50:09 configure libatm1:amd64 1:2.5.1-4 <none>
2022-03-07 21:50:09 status unpacked libatm1:amd64 1:2.5.1-4
2022-03-07 21:50:09 status half-configured libatm1:amd64 1:2.5.1-4
2022-03-07 21:50:09 status installed libatm1:amd64 1:2.5.1-4
2022-03-07 21:50:09 configure libcap2:amd64 1:2.44-1 <none>
2022-03-07 21:50:09 status unpacked libcap2:amd64 1:2.44-1
2022-03-07 21:50:09 status half-configured libcap2:amd64 1:2.44-1
2022-03-07 21:50:09 status installed libcap2:amd64 1:2.44-1
2022-03-07 21:50:09 configure libcap2-bin:amd64 1:2.44-1 <none>
2022-03-07 21:50:09 status unpacked libcap2-bin:amd64 1:2.44-1
2022-03-07 21:50:09 status half-configured libcap2-bin:amd64 1:2.44-1
2022-03-07 21:50:09 status installed libcap2-bin:amd64 1:2.44-1
2022-03-07 21:50:09 configure libmnl0:amd64 1.0.4-3 <none>
2022-03-07 21:50:09 status unpacked libmnl0:amd64 1.0.4-3
2022-03-07 21:50:09 status half-configured libmnl0:amd64 1.0.4-3
2022-03-07 21:50:09 status installed libmnl0:amd64 1.0.4-3
2022-03-07 21:50:09 configure libxtables12:amd64 1.8.7-1 <none>
2022-03-07 21:50:09 status unpacked libxtables12:amd64 1.8.7-1
2022-03-07 21:50:09 status half-configured libxtables12:amd64 1.8.7-1
2022-03-07 21:50:09 status installed libxtables12:amd64 1.8.7-1
2022-03-07 21:50:09 configure libelf1:amd64 0.183-1 <none>
2022-03-07 21:50:09 status unpacked libelf1:amd64 0.183-1
2022-03-07 21:50:09 status half-configured libelf1:amd64 0.183-1
2022-03-07 21:50:09 status installed libelf1:amd64 0.183-1
2022-03-07 21:50:09 configure libpam-cap:amd64 1:2.44-1 <none>
2022-03-07 21:50:09 status unpacked libpam-cap:amd64 1:2.44-1
2022-03-07 21:50:09 status half-configured libpam-cap:amd64 1:2.44-1
2022-03-07 21:50:09 status installed libpam-cap:amd64 1:2.44-1
2022-03-07 21:50:09 configure libbpf0:amd64 1:0.3-2 <none>
2022-03-07 21:50:09 status unpacked libbpf0:amd64 1:0.3-2
2022-03-07 21:50:09 status half-configured libbpf0:amd64 1:0.3-2
2022-03-07 21:50:09 status installed libbpf0:amd64 1:0.3-2
2022-03-07 21:50:09 configure iproute2:amd64 5.10.0-4 <none>
2022-03-07 21:50:09 status unpacked iproute2:amd64 5.10.0-4
2022-03-07 21:50:09 status half-configured iproute2:amd64 5.10.0-4
2022-03-07 21:50:10 status installed iproute2:amd64 5.10.0-4
2022-03-07 21:50:10 trigproc libc-bin:amd64 2.31-13+deb11u2 <none>
2022-03-07 21:50:10 status half-configured libc-bin:amd64 2.31-13+deb11u2
2022-03-07 21:50:10 status installed libc-bin:amd64 2.31-13+deb11u2
2022-03-07 22:04:02 startup archives unpack
2022-03-07 22:04:02 install libelf1:amd64 <none> 0.183-1
2022-03-07 22:04:02 status triggers-pending libc-bin:amd64 2.31-13+deb11u2
2022-03-07 22:04:02 status half-installed libelf1:amd64 0.183-1
2022-03-07 22:04:02 status unpacked libelf1:amd64 0.183-1
2022-03-07 22:04:02 install libbpf0:amd64 <none> 1:0.3-2
2022-03-07 22:04:02 status half-installed libbpf0:amd64 1:0.3-2
2022-03-07 22:04:02 status unpacked libbpf0:amd64 1:0.3-2
2022-03-07 22:04:02 install libcap2:amd64 <none> 1:2.44-1
2022-03-07 22:04:02 status half-installed libcap2:amd64 1:2.44-1
2022-03-07 22:04:02 status unpacked libcap2:amd64 1:2.44-1
2022-03-07 22:04:02 install libmnl0:amd64 <none> 1.0.4-3
2022-03-07 22:04:02 status half-installed libmnl0:amd64 1.0.4-3
2022-03-07 22:04:02 status unpacked libmnl0:amd64 1.0.4-3
2022-03-07 22:04:02 install libxtables12:amd64 <none> 1.8.7-1
2022-03-07 22:04:02 status half-installed libxtables12:amd64 1.8.7-1
2022-03-07 22:04:02 status unpacked libxtables12:amd64 1.8.7-1
2022-03-07 22:04:02 install libcap2-bin:amd64 <none> 1:2.44-1
2022-03-07 22:04:02 status half-installed libcap2-bin:amd64 1:2.44-1
2022-03-07 22:04:02 status unpacked libcap2-bin:amd64 1:2.44-1
2022-03-07 22:04:02 install iproute2:amd64 <none> 5.10.0-4
2022-03-07 22:04:02 status half-installed iproute2:amd64 5.10.0-4
2022-03-07 22:04:03 status unpacked iproute2:amd64 5.10.0-4
2022-03-07 22:04:03 install libatm1:amd64 <none> 1:2.5.1-4
2022-03-07 22:04:03 status half-installed libatm1:amd64 1:2.5.1-4
2022-03-07 22:04:03 status unpacked libatm1:amd64 1:2.5.1-4
2022-03-07 22:04:03 install libpam-cap:amd64 <none> 1:2.44-1
2022-03-07 22:04:03 status half-installed libpam-cap:amd64 1:2.44-1
2022-03-07 22:04:03 status unpacked libpam-cap:amd64 1:2.44-1
2022-03-07 22:04:03 startup packages configure
2022-03-07 22:04:03 configure libatm1:amd64 1:2.5.1-4 <none>
2022-03-07 22:04:03 status unpacked libatm1:amd64 1:2.5.1-4
2022-03-07 22:04:03 status half-configured libatm1:amd64 1:2.5.1-4
2022-03-07 22:04:03 status installed libatm1:amd64 1:2.5.1-4
2022-03-07 22:04:03 configure libcap2:amd64 1:2.44-1 <none>
2022-03-07 22:04:03 status unpacked libcap2:amd64 1:2.44-1
2022-03-07 22:04:03 status half-configured libcap2:amd64 1:2.44-1
2022-03-07 22:04:03 status installed libcap2:amd64 1:2.44-1
2022-03-07 22:04:03 configure libcap2-bin:amd64 1:2.44-1 <none>
2022-03-07 22:04:03 status unpacked libcap2-bin:amd64 1:2.44-1
2022-03-07 22:04:03 status half-configured libcap2-bin:amd64 1:2.44-1
2022-03-07 22:04:03 status installed libcap2-bin:amd64 1:2.44-1
2022-03-07 22:04:03 configure libmnl0:amd64 1.0.4-3 <none>
2022-03-07 22:04:03 status unpacked libmnl0:amd64 1.0.4-3
2022-03-07 22:04:03 status half-configured libmnl0:amd64 1.0.4-3
2022-03-07 22:04:03 status installed libmnl0:amd64 1.0.4-3
2022-03-07 22:04:03 configure libxtables12:amd64 1.8.7-1 <none>
2022-03-07 22:04:03 status unpacked libxtables12:amd64 1.8.7-1
2022-03-07 22:04:03 status half-configured libxtables12:amd64 1.8.7-1
2022-03-07 22:04:03 status installed libxtables12:amd64 1.8.7-1
2022-03-07 22:04:03 configure libelf1:amd64 0.183-1 <none>
2022-03-07 22:04:03 status unpacked libelf1:amd64 0.183-1
2022-03-07 22:04:03 status half-configured libelf1:amd64 0.183-1
2022-03-07 22:04:03 status installed libelf1:amd64 0.183-1
2022-03-07 22:04:03 configure libpam-cap:amd64 1:2.44-1 <none>
2022-03-07 22:04:03 status unpacked libpam-cap:amd64 1:2.44-1
2022-03-07 22:04:03 status half-configured libpam-cap:amd64 1:2.44-1
2022-03-07 22:04:03 status installed libpam-cap:amd64 1:2.44-1
2022-03-07 22:04:03 configure libbpf0:amd64 1:0.3-2 <none>
2022-03-07 22:04:03 status unpacked libbpf0:amd64 1:0.3-2
2022-03-07 22:04:03 status half-configured libbpf0:amd64 1:0.3-2
2022-03-07 22:04:03 status installed libbpf0:amd64 1:0.3-2
2022-03-07 22:04:03 configure iproute2:amd64 5.10.0-4 <none>
2022-03-07 22:04:03 status unpacked iproute2:amd64 5.10.0-4
2022-03-07 22:04:03 status half-configured iproute2:amd64 5.10.0-4
2022-03-07 22:04:03 status installed iproute2:amd64 5.10.0-4
2022-03-07 22:04:03 trigproc libc-bin:amd64 2.31-13+deb11u2 <none>
2022-03-07 22:04:03 status half-configured libc-bin:amd64 2.31-13+deb11u2
2022-03-07 22:04:03 status installed libc-bin:amd64 2.31-13+deb11u2
